,x,y
140,1794990.0,-3407190.0
141,1556230.0,-4156430.0
142,1586210.0,-3427170.0
143,1885910.0,-3646950.0
144,1556230.0,-4116470.0
145,1895890.0,-3537050.0
146,1566230.0,-3735850.0
147,1686110.0,-3855730.0
148,2035750.0,-3277310.0
149,1755030.0,-3706890.0
150,1736050.0,-3377210.0
151,1845950.0,-3606990.0
152,1616170.0,-3836750.0
153,1706090.0,-3786810.0
154,1735050.0,-3706890.0
155,1746050.0,-3775810.0
156,2005790.0,-3316270.0
157,1566230.0,-3995590.0
158,1955830.0,-3277310.0
159,1606190.0,-3955630.0
160,1706090.0,-3866730.0
161,1646150.0,-3496090.0
162,1905890.0,-3416170.0
163,1834950.0,-3686910.0
164,1566230.0,-4055530.0
165,1635150.0,-3567030.0
166,1686110.0,-3755830.0
167,1955830.0,-3457130.0
168,1845950.0,-3635950.0
169,1815970.0,-3257330.0
170,1945850.0,-3416170.0
171,1666130.0,-3655930.0
172,1576210.0,-3796790.0
173,1934850.0,-3467130.0
174,1646150.0,-3906690.0
175,1586210.0,-4086510.0
176,1945850.0,-3467130.0
177,1636150.0,-3616970.0
178,1715070.0,-3646950.0
179,1985810.0,-3327270.0
180,1885910.0,-3327270.0
181,1556230.0,-4176410.0
182,1526270.0,-3815770.0
183,1934850.0,-3287310.0
184,1736050.0,-3776810.0
185,1895890.0,-3517070.0
186,1914870.0,-3387210.0
187,1646150.0,-3307290.0
188,1794990.0,-3507090.0
189,1805990.0,-3567030.0
190,1675110.0,-3926670.0
191,1506290.0,-3795790.0
192,1925870.0,-3356230.0
193,1825970.0,-3606990.0
194,1586210.0,-4066530.0
195,1586210.0,-4146450.0
196,1855930.0,-3596990.0
197,1626170.0,-3476110.0
198,1885910.0,-3496090.0
199,1775010.0,-3387210.0
200,1766030.0,-3726870.0
201,1945850.0,-3507090.0
202,1676110.0,-3736850.0
203,1636150.0,-3916670.0
204,1586210.0,-3416170.0
205,1555230.0,-4146450.0
206,1596190.0,-3417170.0
207,1635150.0,-3427170.0
208,1945850.0,-3396190.0
209,1706090.0,-3595990.0
210,1675110.0,-3487110.0
211,1794990.0,-3766830.0
212,1894890.0,-3567030.0
213,1775010.0,-3766830.0
214,1656130.0,-3976610.0
215,1686110.0,-3686910.0
216,1854930.0,-3706890.0
217,1706090.0,-3875710.0
218,1925870.0,-3556030.0
219,1556230.0,-4136450.0
220,1586210.0,-4175410.0
221,1825970.0,-3507090.0
222,1656130.0,-3836750.0
223,1626170.0,-4006590.0
224,1894890.0,-3606990.0
225,1576210.0,-3656930.0
226,1955830.0,-3257330.0
227,1616170.0,-4016570.0
228,1615170.0,-3966630.0
229,1656130.0,-3876710.0
230,1934850.0,-3447150.0
231,1606190.0,-3567030.0
232,1476310.0,-3956630.0
233,1546250.0,-3706890.0
234,1596190.0,-3517070.0
235,1616170.0,-3497090.0
236,1686110.0,-3427170.0
237,1895890.0,-3577010.0
238,1596190.0,-3437150.0
239,1895890.0,-3497090.0
240,1985810.0,-3247350.0
241,1695090.0,-3587010.0
242,2005790.0,-3276310.0
243,1994790.0,-3287310.0
244,1885910.0,-3416170.0
245,1935850.0,-3417170.0
246,1586210.0,-3595990.0
247,1415370.0,-3966630.0
248,1885910.0,-3666930.0
249,1575210.0,-3666930.0
250,1666130.0,-3755830.0
251,1965830.0,-3367230.0
252,1726070.0,-3427170.0
253,1945850.0,-3447150.0
254,1546250.0,-3655930.0
255,1675110.0,-3846750.0
256,1805990.0,-3396190.0
257,1834950.0,-3567030.0
258,1646150.0,-3955630.0
259,1885910.0,-3615970.0
260,1635150.0,-3886710.0
261,1925870.0,-3507090.0
262,1794990.0,-3307290.0
263,1965830.0,-3256330.0
264,1596190.0,-4176410.0
265,1715070.0,-3866730.0
266,1575210.0,-4066530.0
267,1726070.0,-3866730.0
268,1706090.0,-3706890.0
269,1965830.0,-3376210.0
270,1656130.0,-3896690.0
271,1575210.0,-4186410.0
272,1834950.0,-3626970.0
273,1915870.0,-3477110.0
274,1626170.0,-3447150.0
275,1575210.0,-3567030.0
276,1925870.0,-3456130.0
277,1635150.0,-3866730.0
278,1735050.0,-3447150.0
279,1914870.0,-3467130.0
280,1686110.0,-3536050.0
281,1586210.0,-4106490.0
282,1726070.0,-3436150.0
283,1635150.0,-3447150.0
284,1606190.0,-3516070.0
